sigma,n,d,train_pool_size,population_size,n_trials,seed,alpha_grid_size,alpha_min_exp,alpha_max_exp,case_path,mc_elapsed_seconds,noise_signal_ratio,theory_alpha_cv,theory_lambda_final,theory_kappa_final,theory_signal_power,theory_weight_error,theory_gen_error,theory_r2_gen,theory_slope_gen,theory_slope_acc,theory_acc_alignment,theory_acc_error,theory_r2_acc,mc_weight_error,mc_weight_error_std,mc_weight_error_se,mc_gen_error,mc_gen_error_std,mc_gen_error_se,mc_r2_gen,mc_r2_gen_std,mc_r2_gen_se,mc_slope_gen,mc_slope_gen_std,mc_slope_gen_se,mc_slope_acc,mc_slope_acc_std,mc_slope_acc_se,mc_acc_alignment,mc_acc_alignment_std,mc_acc_alignment_se,mc_acc_error,mc_acc_error_std,mc_acc_error_se,mc_r2_acc,mc_r2_acc_std,mc_r2_acc_se,mc_alpha_cv,mc_alpha_cv_std,mc_alpha_cv_se,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,historical_alpha_inferred,historical_alpha_inference_relative_error,historical_weight_error,historical_gen_error,historical_r2_gen_population,historical_slope_gen,historical_slope_acc,historical_acc_error,historical_r2_acc,historical_r2_test_saved,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_slope_gen_median,mc_slope_gen_q25,mc_slope_gen_q75,mc_slope_acc_median,mc_slope_acc_q25,mc_slope_acc_q75
0.0,1000,10000,10000,20000,100,20260814,181,-4.0,5.0,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma0_trials100_pop20000_seed20260814_alpha181_eminm4_emax5.npz,1.5434238800080493,0.0,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,69.57280845549644,1.8055350368963243,0.9997336302364344,1.0026688017587637,1.0000002868040074,1.0000002868040074,5.575597643328563e-10,0.9999999999999177,69.26918586730957,2.1960469635113897,0.21960469635113897,1.8778883695602417,0.1679435893317999,0.01679435893317999,0.9997229559606363,2.4776643344669606e-05,2.4776643344669604e-06,1.0024682957699895,0.0005116825917393251,5.1168259173932514e-05,1.0000006923896323,1.299872981554511e-05,1.299872981554511e-06,1.0000006923896323,1.299872981554511e-05,1.299872981554511e-06,1.1371057691683236e-06,1.5056195703751709e-06,1.505619570375171e-07,0.9999999998323584,2.2171766518346703e-10,2.2171766518346703e-11,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0010000000474974513,0.0011850954725275455,67.14236450195312,1.7282471656799316,0.9997450324611624,1.002229602441605,1.0000002930356846,5.820522623792763e-10,0.9999999999998473,0.999772952915346,0.9999999999135287,0.9999999997827701,0.9999999999806696,1.002483651572658,1.0021777231218325,1.0027811313334198,1.0000004395468995,0.9999923938844848,1.0000113501161465
0.01,1000,10000,10000,20000,100,20260814,181,-4.0,5.0,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma0p01_trials100_pop20000_seed20260814_alpha181_eminm4_emax5.npz,1.5422958139679395,1.4752955705691213e-08,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,69.57595280801499,1.805622731739156,0.999733617298854,1.002668788713939,0.9999952350654153,0.9999952350654153,9.789345226701097e-07,0.9999999998555745,68.6917370223999,2.467817382798942,0.2467817382798942,1.843605681657791,0.19687675062005586,0.019687675062005586,0.9997280136703973,2.9045139813779295e-05,2.9045139813779297e-06,1.0024282140878606,0.000464863082030476,4.64863082030476e-05,0.9999942910035613,2.8769375061273575e-05,2.8769375061273576e-06,0.9999942910035613,2.8769375061273575e-05,2.8769375061273576e-06,5.775065209564075e-06,6.681238799529076e-06,6.681238799529075e-07,0.999999999148975,9.860084914147794e-10,9.860084914147794e-11,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0010000000474974513,0.001185488509008522,67.14617156982422,1.7268319129943848,0.9997452412527642,1.0022337456338173,0.9999823207053354,2.1186090846587314e-06,0.9999999996908757,0.99977295671193,0.9999999995598974,0.9999999988420959,0.9999999998589219,1.002412364356609,1.0020798510684972,1.002757661227157,0.9999912529690544,0.9999746963443062,1.0000137379475265
0.03,1000,10000,10000,20000,100,20260814,181,-4.0,5.0,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma0p03_trials100_pop20000_seed20260814_alpha181_eminm4_emax5.npz,1.543316240014974,1.327766013512209e-07,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,69.6011076281633,1.8063242904818075,0.9997335137982115,1.0026686843553574,0.9999548229940476,0.9999548229940476,2.1259737708120384e-05,0.9999999968630792,69.41162742614746,2.5648627726587527,0.25648627726587525,1.9050909757614136,0.19462229568212172,0.019462229568212173,0.9997189427721929,2.871254107537871e-05,2.871254107537871e-06,1.002463230131838,0.0005348718113304031,5.348718113304031e-05,0.9999428433848228,6.74331270813696e-05,6.74331270813696e-06,0.9999428433848228,6.74331270813696e-05,6.74331270813696e-06,5.265814644324847e-05,6.517153487158157e-05,6.5171534871581576e-06,0.9999999922316618,9.613262357282897e-09,9.613262357282896e-10,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,,,,,,,,,,,0.9999999955100873,0.9999999891772526,0.9999999993940509,1.0024507334300141,1.0021354418396728,1.0027564724538822,0.9999356979101157,0.999899848045521,0.9999934077534048
0.1,1000,10000,10000,20000,100,20260814,181,-4.0,5.0,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma0p1_trials100_pop20000_seed20260814_alpha181_eminm4_emax5.npz,1.541475917038042,1.4752955705691215e-06,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,69.88724370735042,1.814304521179473,0.9997323364784029,1.002667497278019,0.9994953654670479,0.9994953654670479,0.0018086606780848625,0.9999997328749818,69.03826354980468,2.4377223239135315,0.24377223239135315,1.8668411409854888,0.180903937850992,0.0180903937850992,0.999724585753375,2.6688677821009196e-05,2.6688677821009195e-06,1.0024015790174523,0.000509749810175755,5.09749810175755e-05,0.9993924550591846,0.00025937462373315013,2.5937462373315012e-05,0.9993924550591846,0.00025937462373315013,2.5937462373315012e-05,0.002953396643254788,0.0021298686415909657,0.00021298686415909657,0.9999995635953183,3.149075896959528e-07,3.149075896959528e-08,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0008912509656511247,0.0012034947532099645,67.48385620117188,1.749910593032837,0.9997418364653207,1.0022448767036791,0.9994611989012714,0.001967786183206466,0.9999997092749623,0.9997700414161955,0.9999996139115301,0.9999993924897527,0.9999998077552786,1.0023543931224284,1.0020556602546242,1.0027422867178264,0.9993789932369301,0.9992210324694665,0.999561737359675
0.3,1000,10000,10000,20000,100,20260814,181,-4.0,5.0,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma0p3_trials100_pop20000_seed20260814_alpha181_eminm4_emax5.npz,1.5434527099714614,1.327766013512209e-05,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,72.4027257221823,1.8844603954446606,0.9997219864141511,1.002657061554255,0.9954742769975095,0.9954742769975095,0.13957855196167152,0.9999792183580055,71.9519083404541,2.3442881091592196,0.23442881091592196,1.9377261781692505,0.17331257304544365,0.017331257304544365,0.9997141281152372,2.5568727133786803e-05,2.55687271337868e-06,1.0024431447829705,0.0004893176227618454,4.893176227618454e-05,0.9947768261938851,0.0007464779386154832,7.464779386154832e-05,0.9947768261938851,0.0007464779386154832,7.464779386154832e-05,0.18866186670552973,0.05377642669345748,0.005377642669345748,0.9999718619848346,8.064662050000054e-06,8.064662050000053e-07,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,,,,,,,,,,,0.9999732296287897,0.9999669929015196,0.9999775741387147,1.0024038659702539,1.0021195149863245,1.00272755171411,0.9948526717134554,0.9942876155882292,0.9952867510725827
0.5,1000,10000,10000,20000,100,20260814,181,-4.0,5.0,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma0p5_trials100_pop20000_seed20260814_alpha181_eminm4_emax5.npz,1.5422211739933118,3.688238926422803e-05,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,77.43368975184606,2.0247721439750372,0.9997012862856475,1.0026361907584003,0.9875283891898999,0.9875283891898999,1.0563788420592952,0.9998401756288023,78.3724536895752,2.464397515518577,0.2464397515518577,2.1447790551185606,0.17798803191231738,0.017798803191231737,0.9996835816960136,2.625849550946276e-05,2.6258495509462763e-06,1.0023736596132904,0.0005275079828335661,5.2750798283356615e-05,0.9857672833867065,0.0012485675850346049,0.0001248567585034605,0.9857672833867065,0.0012485675850346049,0.0001248567585034605,1.383543461191534,0.24473381098786154,0.024473381098786155,0.9997898562067253,3.7738316677348105e-05,3.7738316677348104e-06,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,,,,,,,,,,,0.9997943807636156,0.9997674422847537,0.9998145664281787,1.0023736930848774,1.0020500258819776,1.0027318823356919,0.9858631402564982,0.9849792700215666,0.986565518512079
0.7,1000,10000,10000,20000,100,20260814,181,-4.0,5.0,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma0p7_trials100_pop20000_seed20260814_alpha181_eminm4_emax5.npz,1.5405992700252682,7.228948295788692e-05,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,84.98013579634168,2.2352397667706008,0.9996702360928921,1.0026048861937025,0.9758445841496977,0.9758445841496977,3.959113157087677,0.9993865760176193,86.76841850280762,2.519387291021072,0.25193872910210724,2.3351457035541534,0.18417172807452473,0.018417172807452472,0.9996554969886912,2.7170773465246474e-05,2.7170773465246475e-06,1.0022737509001214,0.000584420283993413,5.8442028399341297e-05,0.9718679518963572,0.002395157183691293,0.00023951571836912928,0.9718679518963572,0.002395157183691293,0.00023951571836912928,5.402927769609156,0.9254146585319531,0.09254146585319531,0.999155375677008,0.000148998259427569,1.48998259427569e-05,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,,,,,,,,,,,0.9991759948724885,0.9990630875698635,0.9992599415358518,1.0022507360777415,1.0018801133390762,1.002672127504243,0.9720954888048808,0.9703001322591192,0.9735164292549031
1.0,1000,10000,10000,20000,100,20260814,181,-4.0,5.0,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma1_trials100_pop20000_seed20260814_alpha181_eminm4_emax5.npz,1.541038778028451,0.00014752955705691213,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,101.01633364089489,2.6824834652111735,0.9996042544332868,1.0025383704838298,0.9519119541166721,0.9519119541166721,15.682912855008539,0.9974463539397768,104.66089065551758,3.426201711906081,0.3426201711906081,2.859743297100067,0.21492238099683314,0.021492238099683314,0.9995781033380824,3.170740367008171e-05,3.170740367008171e-06,1.0022546745394132,0.0007901821536396433,7.901821536396433e-05,0.9458261986575356,0.0037248530572583727,0.00037248530572583726,0.9458261986575356,0.0037248530572583727,0.00037248530572583726,19.98607327039251,2.732920039844487,0.2732920039844487,0.9967003626338484,0.0004768831207067245,4.768831207067245e-05,0.09488707834825619,0.21367100470892916,0.021367100470892915,9.999999747378752e-05,9.999999747378752e-05,0.0001401194131176453,1.0,0.0019087312456231972,98.82011413574219,2.701838254928589,0.999601398999011,1.0022395223356122,0.9538748141284774,14.42106120376796,0.9976617457318686,0.9996185282290846,0.9967346190146007,0.9963596547248864,0.9969638913385004,1.002160611125332,1.00188180833351,1.0027083123961833,0.9459454837941739,0.9430978410880759,0.947776777525609
1.5,1000,10000,10000,20000,100,20260814,181,-4.0,5.0,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma1p5_trials100_pop20000_seed20260814_alpha181_eminm4_emax5.npz,1.5395517129800282,0.0003319415033780523,1.9952623149688788,0.001995262314968879,0.03543697572286248,6778.303260577998,126.90792303434608,3.7428643088382354,0.9994478169292592,1.002700265387941,0.9198092106936754,0.9198092106936754,43.60638406127551,0.9923949781364368,128.4195076751709,6.146964769200336,0.6146964769200336,4.03931024312973,0.26950191189582456,0.026950191189582456,0.9994040823490153,3.975949768797606e-05,3.975949768797606e-06,1.0025991456053627,0.0009877622900029974,9.877622900029974e-05,0.9197751551966608,0.009816171469461387,0.0009816171469461386,0.9197751551966608,0.009816171469461387,0.0009816171469461386,44.27193780087723,10.690212159022662,1.0690212159022663,0.9922376248050391,0.0020421458609585228,0.00020421458609585228,2.6982256490550935,1.1385625774344257,0.11385625774344257,2.5118863582611084,1.9952622652053833,3.2587417364120483,,,,,,,,,,,0.9924393762880689,0.9910617285175868,0.9936286802667398,1.0025736524635676,1.0020141145199681,1.0032856119327196,0.9200038827040407,0.9136238084053578,0.9260811746121339
2.0,1000,10000,10000,20000,100,20260814,181,-4.0,5.0,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma2_trials100_pop20000_seed20260814_alpha181_eminm4_emax5.npz,1.5418635249952786,0.0005901182282276485,6.309573444801943,0.006309573444801943,0.04274120160726349,6778.303260577998,141.88811481126663,4.95005129019984,0.9992697211824397,1.003155672109937,0.9072126512411618,0.9072126512411618,58.387428837910214,0.9895316702193585,142.23288146972655,8.722481226522964,0.8722481226522965,5.300031118392944,0.39198277388373987,0.03919827738837399,0.9992180887567156,5.7829045005009246e-05,5.782904500500924e-06,1.0030326698918788,0.0012359878862311128,0.00012359878862311128,0.9094548211004291,0.014099450983589137,0.0014099450983589136,0.9094548211004291,0.014099450983589137,0.0014099450983589136,56.90545109936827,18.28200767910258,1.828200767910258,0.989740911532225,0.0036836224342731622,0.00036836224342731624,6.889895544052124,1.671465519724992,0.1671465519724992,7.079457759857178,5.6234130859375,7.943282127380371,,,,,,,,,,,0.9909068218358633,0.9873441297722214,0.992625094399922,1.00305307817385,1.0021091203545085,1.0038598297383645,0.9129434502120144,0.8988826963313311,0.9209149471623437
